Task,Estimated Hours,Actual Hours
Project Planning & Architecture Outline,2.0,
Setup Project Structure & Initial Commit,1.0,
"Implement Auth (Login/Signup, Session Management)",3.0,
Design Task Entity & DB Schema,1.5,
Implement Task CRUD APIs,3.0,
Implement Inline Status Transitions,2.0,
Implement Time Logging Feature,2.0,
Task List UI + Inline Edit/Status Change,3.0,
Create/Edit Task Modal,2.0,
Connect Frontend to Task APIs,2.0,
Integrate AI Assist (Daily Plan or Task Description),2.5,
Frontend UI for AI Interaction,1.5,
Admin: Assign Tasks & View All Users,2.0,
Implement Logging (Structured API Logs & Error Logs),1.5,
Dockerize App (Dockerfile + docker-compose),2.0,
Deploy to Cloud Platform (Render/Vercel etc.),1.5,
"Write README, Record Loom Demos",2.0,
Create estimates.csv & Log Actual Times,0.5,
